Gene	C42B_siZFX_rep1	C42B_siZFX_rep2	C42B_siZFX_rep3	C42B_siCtrl_rep1	C42B_siCtrl_rep2	C42B_siCtrl_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
AC000095.9	0.0417013	0.139131	0.210721	0.0355771	0.0116432	0.0881165
AC000099.1	nan	nan	nan	nan	nan	nan
AC000110.1	nan	nan	nan	nan	nan	nan
AC000111.3	nan	nan	nan	nan	nan	nan
AC000111.4	nan	nan	nan	nan	nan	nan
AC000111.5	nan	nan	nan	nan	nan	nan
AC000111.6	nan	nan	nan	nan	nan	nan
AC000120.7	1.6086	0.865047	1.18065	0.946707	0.761815	0.748007
AC000123.4	0.374638	0.428284	0.58748	0.74163	0.392741	0.485029
AC000124.1	nan	nan	nan	nan	nan	nan
AC000362.1	nan	nan	nan	nan	nan	nan
AC000367.1	nan	nan	nan	nan	nan	nan
AC000370.2	nan	nan	nan	nan	nan	nan
AC000374.1	nan	nan	nan	nan	nan	nan
AC000403.1	nan	nan	nan	nan	nan	nan
AC002044.4	nan	nan	nan	nan	nan	nan
AC002055.4	17.5817	17.9049	18.8053	13.704	11.4384	11.5407
AC002056.3	0.735513	0.236728	0.382389	0.584911	0.514932	0.464035
AC002056.5	nan	nan	nan	nan	nan	nan
AC002059.10	0.333012	0.513941	0.391653	0.370815	0.242575	0.22386
AC002064.4	nan	nan	nan	nan	nan	nan
AC002064.5	nan	nan	nan	nan	nan	nan
AC002066.1	nan	nan	nan	nan	nan	nan
AC002066.2	nan	nan	nan	nan	nan	nan
AC002069.5	0.124879	0.0856568	0.195827	0.134842	0.0693072	0.18655
AC002069.6	nan	nan	nan	nan	nan	nan
AC002070.1	nan	nan	nan	nan	nan	nan
AC002075.3	nan	nan	nan	nan	nan	nan
AC002075.4	0.957884	0.60125	1.70409	0.314327	0.796504	0.580449
AC002076.10	nan	nan	nan	nan	nan	nan
AC002115.5	nan	nan	nan	nan	nan	nan
AC002115.9	nan	nan	nan	nan	nan	nan
AC002116.7	0.374638	0.428284	0.326378	0.573078	0.589112	0.559649
AC002116.8	0.839329	1.40657	0.714182	0.172752	1.15933	0.75798
AC002117.1	nan	nan	nan	nan	nan	nan
AC002127.2	nan	nan	nan	nan	nan	nan
AC002127.4	nan	nan	nan	nan	nan	nan
AC002128.4	nan	nan	nan	nan	nan	nan
AC002128.5	0.333012	0.0856568	0.0979133	0.235973	0.138614	0.0373099
AC002306.1	nan	nan	nan	nan	nan	nan
AC002310.10	nan	nan	nan	nan	nan	nan
AC002310.12	4.76908	5.36091	5.68577	7.32027	7.25417	7.95027
AC002310.13	nan	nan	nan	nan	nan	nan
AC002310.17	nan	nan	nan	nan	nan	nan
AC002310.7	0.324579	0.161658	0.185785	0.205143	0.39904	0.101692
AC002314.4	nan	nan	nan	nan	nan	nan
AC002331.1	nan	nan	nan	nan	nan	nan
AC002365.1	nan	nan	nan	nan	nan	nan
AC002366.3	nan	nan	nan	nan	nan	nan
AC002368.4	nan	nan	nan	nan	nan	nan
AC002383.2	nan	nan	nan	nan	nan	nan
AC002386.1	nan	nan	nan	nan	nan	nan
AC002395.1	nan	nan	nan	nan	nan	nan
AC002398.11	0.431133	0.320369	0.362201	0.293394	0.32959	0.419609
AC002398.12	nan	nan	nan	nan	nan	nan
AC002398.13	0.364037	0.343302	0.558192	0.35891	0.441207	0.215444
AC002398.5	nan	nan	nan	nan	nan	nan
AC002398.9	0.0416336	0.0217621	0.101313	0.0337105	0.160893	0.189674
AC002400.1	nan	nan	nan	nan	nan	nan
AC002401.1	nan	nan	nan	nan	nan	nan
AC002429.4	nan	nan	nan	nan	nan	nan
AC002429.5	nan	nan	nan	nan	nan	nan
AC002451.1	nan	nan	nan	nan	nan	nan
AC002451.3	nan	nan	nan	nan	nan	nan
AC002454.1	nan	nan	nan	nan	nan	nan
AC002456.2	1.45693	1.22061	1.4687	1.31471	1.22443	1.15661
AC002463.3	nan	nan	nan	nan	nan	nan
AC002465.2	nan	nan	nan	nan	nan	nan
AC002467.7	1.8694	1.86508	1.68201	2.05634	1.36404	1.19392
AC002472.1	nan	nan	nan	nan	nan	nan
AC002472.11	nan	nan	nan	nan	nan	nan
AC002472.13	nan	nan	nan	nan	nan	nan
AC002477.1	nan	nan	nan	nan	nan	nan
AC002480.2	nan	nan	nan	nan	nan	nan
AC002480.3	nan	nan	nan	nan	nan	nan
AC002480.4	nan	nan	nan	nan	nan	nan
AC002480.5	nan	nan	nan	nan	nan	nan
AC002485.1	nan	nan	nan	nan	nan	nan
AC002486.2	nan	nan	nan	nan	nan	nan
AC002486.3	nan	nan	nan	nan	nan	nan
AC002511.1	nan	nan	nan	nan	nan	nan
AC002511.2	nan	nan	nan	nan	nan	nan
AC002511.3	nan	nan	nan	nan	nan	nan
AC002519.6	0.208132	0.171405	0.195985	0.101131	0.138614	0.14924
AC002519.8	0.208132	0.0642426	0.261102	0.168552	0.150166	0.18655
AC002523.1	nan	nan	nan	nan	nan	nan
AC002539.1	nan	nan	nan	nan	nan	nan
AC002539.2	nan	nan	nan	nan	nan	nan
AC002542.2	nan	nan	nan	nan	nan	nan
AC002543.2	nan	nan	nan	nan	nan	nan
AC002550.5	0.445953	0.282812	0.261212	0.230382	0.41873	0.266466
AC002551.1	nan	nan	nan	nan	nan	nan
AC002553.1	nan	nan	nan	nan	nan	nan
AC002553.4	nan	nan	nan	nan	nan	nan
AC002558.1	nan	nan	nan	nan	nan	nan
AC002978.1	nan	nan	nan	nan	nan	nan
AC002979.1	nan	nan	nan	nan	nan	nan
AC002981.1	nan	nan	nan	nan	nan	nan
AC002984.2	nan	nan	nan	nan	nan	nan
AC002985.3	nan	nan	nan	nan	nan	nan
AC002992.1	nan	nan	nan	nan	nan	nan
AC002994.1	nan	nan	nan	nan	nan	nan
AC003001.1	nan	nan	nan	nan	nan	nan
AC003002.4	nan	nan	nan	nan	nan	nan
AC003002.6	nan	nan	nan	nan	nan	nan
AC003003.5	nan	nan	nan	nan	nan	nan
AC003005.2	nan	nan	nan	nan	nan	nan
AC003005.4	nan	nan	nan	nan	nan	nan
AC003006.1	nan	nan	nan	nan	nan	nan
AC003006.7	nan	nan	nan	nan	nan	nan
AC003009.1	nan	nan	nan	nan	nan	nan
AC003009.2	nan	nan	nan	nan	nan	nan
AC003029.1	nan	nan	nan	nan	nan	nan
AC003035.1	nan	nan	nan	nan	nan	nan
AC003043.1	nan	nan	nan	nan	nan	nan
AC003045.1	nan	nan	nan	nan	nan	nan
AC003051.1	nan	nan	nan	nan	nan	nan
AC003075.4	nan	nan	nan	nan	nan	nan
AC003079.1	nan	nan	nan	nan	nan	nan
AC003080.4	nan	nan	nan	nan	nan	nan
AC003084.2	nan	nan	nan	nan	nan	nan
AC003087.4	nan	nan	nan	nan	nan	nan
AC003088.1	0.0832529	0.128485	0.130551	0.269684	0.150166	0.18655
AC003090.1	0.249759	0.364041	0.212145	0.573078	0.358087	0.22386
AC003092.1	nan	nan	nan	nan	nan	nan
AC003092.2	nan	nan	nan	nan	nan	nan
AC003101.1	nan	nan	nan	nan	nan	nan
AC003102.1	nan	nan	nan	nan	nan	nan
AC003102.3	5.41144	4.62546	4.77621	4.28123	3.75414	3.69368
AC003104.1	nan	nan	nan	nan	nan	nan
AC003658.1	nan	nan	nan	nan	nan	nan
AC003664.1	nan	nan	nan	nan	nan	nan
AC003665.1	3.37174	3.7689	3.5412	4.88802	4.53963	4.47719
AC003666.1	nan	nan	nan	nan	nan	nan
AC003681.1	nan	nan	nan	nan	nan	nan
AC003682.16	nan	nan	nan	nan	nan	nan
AC003682.17	nan	nan	nan	nan	nan	nan
AC003956.1	nan	nan	nan	nan	nan	nan
AC003958.2	nan	nan	nan	nan	nan	nan
AC003958.6	nan	nan	nan	nan	nan	nan
AC003968.1	nan	nan	nan	nan	nan	nan
AC003973.1	nan	nan	nan	nan	nan	nan
AC003973.4	nan	nan	nan	nan	nan	nan
AC003973.5	nan	nan	nan	nan	nan	nan
AC003973.6	nan	nan	nan	nan	nan	nan
AC003984.1	nan	nan	nan	nan	nan	nan
AC003985.1	nan	nan	nan	nan	nan	nan
AC003986.5	nan	nan	nan	nan	nan	nan
AC003986.6	nan	nan	nan	nan	nan	nan
AC003986.7	nan	nan	nan	nan	nan	nan
AC003988.1	nan	nan	nan	nan	nan	nan
AC003989.3	nan	nan	nan	nan	nan	nan
AC003989.4	nan	nan	nan	nan	nan	nan
AC003991.3	nan	nan	nan	nan	nan	nan
AC004000.1	nan	nan	nan	nan	nan	nan
AC004004.2	nan	nan	nan	nan	nan	nan
AC004006.2	nan	nan	nan	nan	nan	nan
AC004009.3	nan	nan	nan	nan	nan	nan
AC004012.1	nan	nan	nan	nan	nan	nan
AC004014.3	nan	nan	nan	nan	nan	nan
AC004014.4	0.333012	0.107071	0.195827	0.235973	0.115512	0.11193
AC004016.1	nan	nan	nan	nan	nan	nan
AC004016.2	nan	nan	nan	nan	nan	nan
AC004017.1	nan	nan	nan	nan	nan	nan
AC004019.10	nan	nan	nan	nan	nan	nan
AC004019.13	0.353871	0.207222	0.248052	0.166077	0.0869901	0.241318
AC004019.18	nan	nan	nan	nan	nan	nan
AC004022.7	nan	nan	nan	nan	nan	nan
AC004022.8	nan	nan	nan	nan	nan	nan
AC004041.2	nan	nan	nan	nan	nan	nan
AC004051.2	nan	nan	nan	nan	nan	nan
AC004052.1	nan	nan	nan	nan	nan	nan
AC004053.1	nan	nan	nan	nan	nan	nan
AC004054.1	nan	nan	nan	nan	nan	nan
AC004057.1	22.2351	21.9283	25.9051	20.7295	14.6649	20.2746
AC004062.2	nan	nan	nan	nan	nan	nan
AC004063.1	nan	nan	nan	nan	nan	nan
AC004066.2	nan	nan	nan	nan	nan	nan
AC004066.3	nan	nan	nan	nan	nan	nan
AC004067.5	nan	nan	nan	nan	nan	nan
AC004069.1	nan	nan	nan	nan	nan	nan
AC004069.2	0.19996	0.184175	0.376562	0.2034	0.107131	0.134484
AC004070.1	nan	nan	nan	nan	nan	nan
AC004074.3	0.543237	0.405415	0.472354	0.235973	0.232091	0.412801
AC004074.4	nan	nan	nan	nan	nan	nan
AC004076.7	nan	nan	nan	nan	nan	nan
AC004076.9	nan	nan	nan	nan	nan	nan
AC004079.1	nan	nan	nan	nan	nan	nan
AC004112.4	nan	nan	nan	nan	nan	nan
AC004112.5	nan	nan	nan	nan	nan	nan
